date,section,rank,title,press,url,issue_group,issue_family,body_status,qa_overall,title_hash,url_hash,summary
2026.6.5,자사_및_계열사_이슈,1,"카카오게임즈, 22일 임시주총…공동대표 전환 시동",SBSBiz,https://biz.sbs.co.kr/amp/article/20000314511,카카오게임즈 최대주주 변경 및 공동대표 체제,경영권/인선,본문추출성공,양호,카카오게임즈 22일 임시주총 공동대표 전환 시동,https://biz.sbs.co.kr/amp/article/20000314511,"카카오게임즈, 22일 임시주총…공동대표 전환 시동 SBS Biz 안지혜 입력2026.06.04 17:22 수정2026.06.04 17:27 [경기 성남시 카카오게임즈 사옥의 로고 (연합뉴스 자료사진)] 일본 라인야후가 출자한 특수목적법인(SPC)에 인수 절차가 진행 중인 카카오게임즈가 이달 말 임시 주주총회를 열고 외부 인사를 이사로 영입합니음."
2026.6.5,자사_및_계열사_이슈,2,"카카오, 구글 딥마인드 손잡고 AI 콘텐츠 워터마크 도입",공유경제신문,https://www.seconomy.kr/news/articleView.html?idxno=139744,카카오-구글 딥마인드 AI 콘텐츠 워터마크 도입,AI_기술_협력,본문추출성공,양호,카카오 구글 딥마인드 손잡고 ai 콘텐츠 워터마크 도입,https://www.seconomy.kr/news/articleView.html?idxno=139744,자체 AI 모델 ‘카나나’ 이미지·영상에 신스ID 적용 하반기부터 비가시적 워터마크 삽입···AI 생성물 신뢰성 강화 카카오가 구글 딥마인드와 손잡고 자체 생성형 AI 콘텐츠에 디지털 워터마크를 도입하며 AI 서비스 신뢰도 확보에 나선음. 카카오는 지난달 20일 구글 딥마인드와 AI 생성 콘텐츠의 투명성 강화를 위한 기술 파트너십을 체결했다고 밝힘.
2026.6.5,자사_및_계열사_이슈,3,스타벅스 결제액 130억원 줄어…카톡 선물 1위는 탈환,연합뉴스TV,https://www.yonhapnewstv.co.kr/news/MYH20260604231801STQ,카톡 선물하기 내 스타벅스 교환권/소비 변화,카카오톡 선물하기,본문추출성공,양호,스타벅스 결제액 130억원 줄어 카톡 선물 1위는 탈환,https://www.yonhapnewstv.co.kr/news/MYH20260604231801STQ,경제 스타벅스 결제액 130억원 줄어…카톡 선물 1위는 탈환 오주현 기자 입력 2026-06-04 23:18:03 기사 읽어주기 서비스는 크롬기반의 브라우저에서만 사용하실 수 있습니음. 공유하기 카카오톡 페이스북메신저 페이스북 X 네이버블로그 네이버밴드 글자크기 가 가 가 가 가 오주현 기자 입력 2026-06-04 23:18:03 기사 읽어주기 서비스는 크롬기반의 브라우저에서만 사용하실 수 있습니음.
2026.6.5,정부_국회,4,"""불법촬영 이미지도 7월부터 '차단 의무'""…방미통위 설명회",연합뉴스,https://www.yna.co.kr/amp/view/AKR20260604139200017,플랫폼 불법촬영 이미지 차단 의무 확대,유통방지_조치,본문추출성공,양호,불법촬영 이미지도 7월부터 차단 의무 방미통위 설명회,https://www.yna.co.kr/amp/view/AKR20260604139200017,(서울=연합뉴스) 유현민 기자 = 불법촬영물 유통방지 의무 대상이 다음.
2026.6.5,정부_국회,5,"[AI 3강의 꿈, 중간성적표]①AIDC특별법·GPU 확보 긍정적…부처간 협업은 '지지부진'",v.daum.net,https://v.daum.net/v/20260605064300584,국가 AI 인프라/AIDC/GPU 정책,AI 인프라 및 정책,본문추출성공,양호,ai 3강의 꿈 중간성적표 aidc특별법 gpu 확보 긍정적 부처간 협업은 지지부진,https://v.daum.net/v/20260605064300584,"[AI 3강의 꿈, 중간성적표]①AIDC특별법·GPU 확보 긍정적…부처간 협업은 '지지부진' 공병선 2026임. 06:43 음성재생 설정 이동 통신망에서 음성 재생 시 데이터 요금이 발생할 수 있습니음."
2026.6.5,정부_국회,6,"금융위 안창국 상임위원, 금융안정위 총회…AI도입 등 논의",네이트,https://news.nate.com/view/20260605n09878,금융권 AI 도입 가이드라인/모범사례,AI 도입 논의,본문추출성공,양호,금융위 안창국 상임위원 금융안정위 총회 ai도입 등 논의,https://news.nate.com/view/20260605n09878,재판매 및 DB 금지] (서울=연합뉴스) 배영경 기자 = 금융위원회 안창국 상임위원이 영국 런던에서 열린 금융안정위원회(FSB) 총회에 참석해 금융권의 인공지능(AI) 도입 문제 등을 논의했다고 5일 금융위는 밝힘. 지난 1일 열린 금융안정위원회 총회에서는 '금융기관의 책임.
2026.6.5,정부_국회,7,"공정위, 이달부터 AI가상모델 표시 의무화…업계도 주의해야",fn아이포커스,https://www.fneyefocus.com/news/articleView.html?idxno=20701,AI 가상모델 표시 의무화,AI 윤리 및 규제,본문추출성공,양호,공정위 이달부터 ai가상모델 표시 의무화 업계도 주의해야,https://www.fneyefocus.com/news/articleView.html?idxno=20701,"AI( 인공지능 ) 가 우리 생활 전반에 깊숙이 파고든 가운데 , 정부가 최근 소비자 보호를 위해 ‘AI 가상인물 표시 의무화 ’ 에 나선음. 공정거래위원회 ( 위원장 주병기 · 이하 공정위 ) 는 ‘ 추천 · 보증 등에 관한 표시 · 광고 심사지침 ’ 을 개정해 AI 로 생성된 가상인물이 광고에 등장할 경우 소비자가 쉽게 인지할 수 있도록 ‘ 가상인물 ’ 임을 의무적으로 표시하도록 했음."
2026.6.5,정부_국회,8,"금융당국, 가상자산 해외 거래 규제 완화… 사업자 자금세탁방지 책임 강화",tokenpost.kr,https://www.tokenpost.kr/amp/news/cryptocurrency/366382,가상자산 이전거래/AML 규제 조정,가상자산 규제 완화,본문추출성공,양호,금융당국 가상자산 해외 거래 규제 완화 사업자 자금세탁방지 책임 강화,https://www.tokenpost.kr/amp/news/cryptocurrency/366382,"금융당국, 가상자산 해외 거래 규제 완화… 사업자 자금세탁방지 책임. 5일 금융당국과 가상자산 업계에 따르면 금융위원회 산하 금융정보분석원(FIU)은 전날 가상자산 거래소 대표들과 만나 특정금융정보법 시행령 개정안에 대한 의견을 들은 뒤 이같이 가닥을 잡았음."
2026.6.5,경쟁사_해외이슈,9,"네이버페이, 안드로이드 기기 호환성 오류 긴급 복구 완료… ""앱 업데이트 필요""",이데일리,https://www.edaily.co.kr/News/Read?newsId=04113126645478768&mediaCodeNo=257,네이버페이 앱 장애/복구,서비스_장애,본문추출성공,양호,네이버페이 안드로이드 기기 호환성 오류 긴급 복구 완료 앱 업데이트 필요,https://www.edaily.co.kr/News/Read?newsId=04113126645478768&mediaCodeNo=257,장애 시간 동안 일부 사용자들은 앱 접속 등에 일시적인 불편을 겪었다.이번 오류는 최근 진행된 구글 안드로이드 운영체제(OS)의 특정 기기 대상 업데이트와 네이버페이 앱 간의 호환성 충돌로 인해 발생한 것으로 분석됨.
2026.6.5,경쟁사_해외이슈,10,"[단독]금감원, '쿠팡페이' 제재 절차 돌입…'원아이디' 적정성 쟁점",아이뉴스24,https://www.inews24.com/view/1974121,쿠팡페이 제재 절차 돌입,전자금융 규제 및 제재,본문추출성공,양호,금감원 쿠팡페이 제재 절차 돌입 원아이디 적정성 쟁점,https://www.inews24.com/view/1974121,[아이뉴스24 박은경 기자] 금융감독원이 쿠팡페이에 대한 검사 의견 정리를 마무리하고 제재 절차에 착수했음. 5일 금융권에 따르면 금감원은 쿠팡페이에 대한 검사 의견을 정리하고 제재를 위한 법리 검토를 진행 중임.
